All,Tot
None,Cap
"Allowed Scopes","Àmbits permesos"
"You need more permissions to delete this item(s): %1.","Vostè necessita més permisos per eliminar aquest (s) article (s): %1."
"You need more permissions to apply some of the rule updates.","Cal més permisos per aplicar algunes de les actualitzacions de les regles."
"Please assign this entity to a store view.","Si us plau, assigni aquesta entitat a una vista de botiga."
"You can create orders only in an active store.","Podeu crear ordres només en una botiga activa."
"Please assign this item to a store view.","Si us plau, assigni aquest element a un vista de botiga."
"You need more permissions to save this item.","Cal més permisos per guardar aquest element."
"You need more permissions to delete this item.","Cal més permisos per eliminar aquest element."
"You need more permissions to view this item.","Cal més permisos per veure aquest element."
"Please specify at least one website or one store group.","Cal especificar almenys un lloc web o grup de botigues."
"You need more permissions to set All Scopes to a Role.","Calen més permisos per assignar tots els àmbits a un rol."
"Incorrect website ID: %1","ID de lloc web incorrecte: %1"
"You need more permissions to access website ""%1"".","Permisos insuficients per accedir al lloc web ""%1""."
"Incorrect store ID: %1","ID de botiga incorrecte: %1"
"You need more permissions to save this setting.","Calen més permisos per desar aquesta configuració."
"Role Scopes","Àmbits de Rol"
Custom,Personalitzat
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","No teniu permís per desar aquest element a l'actual àmbit de vista de botiga. Canvieu a una vista de botiga amb permís"
"More permissions are needed to delete the ""%1"" item.","Calen més permisos per eliminar l'element ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Cal assignar aquesta entitat a una vista de botiga. Verifiqueu l'assignació i torneu-ho a provar."
"Orders can only be completed in an active store. Verify the store and try again.","Les comandes només es poden completar en una botiga activa. Verifiqueu la botiga i torneu-ho a provar."
"This item needs to be assigned to a store view. Assign item and try again.","Cal assignar aquest element a una vista de botiga. Assigneu-lo i torneu-ho a provar."
"More permissions are needed to save this item.","Calen més permisos per desar aquest element."
"More permissions are needed to delete this item.","Calen més permisos per eliminar aquest element."
"More permissions are needed to view this item.","Calen més permisos per veure aquest element."
"At least one website or store group needs to be selected. Select and try again.","Cal seleccionar com a mínim un lloc web o un grup de botigues. Seleccioneu-ho i torneu a provar."
"More permissions are needed to set All Scopes to a Role.","Calen més permisos per assignar tots els àmbits a un rol."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","L'ID del lloc web ""%1"" és incorrecte. Verifiqueu l'ID del lloc web i torneu-ho a provar."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","L'ID de la botiga ""%1"" és incorrecte. Verifiqueu l'ID de la botiga i torneu-ho a provar."
"More permissions are needed to save this setting.","Calen més permisos per desar aquesta configuració."
"Read Details","Llegir detalls"
"Mark as Read","Marca com a llegit"
"Are you sure?",Segur?
Remove,Elimina
"Messages Inbox","Safata d'entrada missatges"
"You have %1 new system messages","Hi ha %1 nous missatges de sistema"
"You have %1 new system message","Hi ha %1 nou missatge de sistema"
"Incoming Message","Missatge entrant"
close,tanca
Notifications,Notificacions
"The message has been marked as Read.","Missatge marcat com a llegit."
"We couldn't mark the notification as Read because of an error.","No podem marcar la notificació com a llegida a causa d'un error."
"Please select messages.","Seleccioneu missatges si us plau."
"A total of %1 record(s) have been marked as Read.","%1 registre(s) s'ha(n) marcat com a llegit(s)."
"Total of %1 record(s) have been removed.","Un total de %1 registre(s) s'ha(n) eliminat."
"We couldn't remove the messages because of an error.","No podem eliminar els missatges a causa d'un error."
"The message has been removed.","S'ha eliminat el missatge."
"1 Hour","1 Hora"
"2 Hours","2 Hores"
"6 Hours","6 Hores"
"12 Hours","12 Hores"
"24 Hours","24 Hores"
critical,crítiques
major,importants
minor,"a revisar"
notice,avís
"Wrong message type","Tipus de missatge erroni"
"Wrong notification ID specified.","ID de notificació especificat incorrecte."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} no es recomana utilitzar en un entorn de producció per declarar l'adreça URL Base no segura / URL Base segura. Es recomana canviar aquest valor a la <a href=""%1"">configuració</a> de Magento."
"One or more of the Cache Types are invalidated: %1. ","Un o més dels tipus de memòria cau són invàlids: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Si us plau aneu a <a href=""%1"">Administració de memòria cau</a> i actualitzeu."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","No s'ha pogut sincronitzar un o més fitxers multimèdia. Consulteu el registre per veure'n els detalls."
"Synchronization of media storages has been completed.","S'ha completat la sincronització de l'emmagatzematge."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","El servidor web no està ben configurat i permet l'accés a fitxers sensibles. Si us plau, poseu-vos en contacte amb el proveïdor del hosting."
"System Messages:","Missatges de sistema:"
"Critical System Messages","Missatges crítics de sistema"
"Major System Messages","Missatges importants de sistema"
"System messages","Missatges de sistema"
Close,Tanca
"See All (","Veure tots ("
" unread)"," sense llegir)"
"Show Toolbar","Mostra a la barra d'eines"
"Show List","Mostra la llista"
"Use HTTPS to Get Feed","Utilitzar HTTPS per obtenir el Feed"
"Update Frequency","Freqüència d'actualització"
"Last Update","Darrera actualització"
Severity,Gravetat
"Date Added","Data en què s'ha afegit"
Message,Missatge
Actions,Accions
"Close popup","Tanca finestra emergent"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","S'han vist i resolt totes les notificacions de sistema recents. Si us plau, refresqueu la pàgina per netejar les alertes."
"Manage Shopping Cart","Gestionar la cistella"
"Create Order","Crear comanda"
Back,Torna
"Add Products","Afegir productes"
"Update Items and Quantities","Actualitzar articles i quantitats"
"Are you sure you want to clear your cart?","Segur que voleu buidar la cistella?"
"Clear my shopping cart","Buida la cistella"
"Add selections to my cart","Afegir selecció a la cistella"
Cancel,Cancel·la
"Shopping Cart for %1 in %2","Cistella per %1 a %2"
"Select products you want to buy","Seleccionar els productes que voleu comprar"
Product,Producte
Price,Preu
Quantity,Quantitat
"Products in the Comparison List (%1)","Productes a la llista de comparació (%1)"
"Last ordered items (%1)","Últims articles demanats (%1)"
Products,Productes
"Recently Compared Products (%1)","Productes comparats recentment (%1)"
"Recently Viewed Products (%1)","Productes vistos recentment (%1)"
"Add to Shopping Cart by SKU","Afegir a la cistella per SKU"
"Add to Shopping Cart","Afegir a la cistella"
"Wish List (%1)","Llista de desitjos (%1)"
Apply,Aplica
Configure,Configura
"Add to Order by SKU","Afegir a la comanda per SKU"
"Add to Order","Afegir a la comanda"
"Add Products to Order","Afegir productes a la comanda"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> Aquest(s) producte(s) necessita(en) atenció.</span>"
"Remove All","Elimina tot"
"Only %1%2%3 left in stock","Només %1%2%3 disponible(s) en estoc"
"You can buy up to %1 of these per purchase.","Màxim %1 per compra."
"You must buy at least %1 of these per purchase.","Mínim %1 per compra."
"Specify the product's options.","Especifiqueu les opcions del producte."
"Alert me when this item is available.","Avisa'm quan l'article estigui disponible."
"We can't find this customer.","No podem trobar aquest client."
"Shopping cart management is disabled for this customer.","Gestió de la cistella no disponible per a aquest client."
"We can't find this store.","No podem trobar aquesta botiga."
Customers,Clients
"Shopping Cart",Cistella
"Sorry, something went wrong. You can find out more in the error log.","Ho sentim, alguna cosa ha anat malament. Podeu trobar més informació al log d'error."
"You do not have access to this.","Accés no permès."
"Ordered item id is not received.","El producte demanat no s'ha rebut."
"Ordered item is not loaded.","El producte demanat no s'ha carregat."
"Quote item id is not received.","El producte demanat no s'ha rebut."
"Quote item is not loaded.","El producte demanat no s'ha carregat."
"The wish list item id is not received.","El producte de la llista de desitjos no s'ha rebut."
"The wish list item is not loaded.","El producte de la llista de desitjos no s'ha carregat."
"An error has occurred. See error log for details.","S'ha produït un error. Mireu el registre per veure'n els detalls."
"You cannot configure a product.","No es pot configrar el producte."
"You removed the items.","Articles eliminats."
"You removed the item.","Article eliminat."
"You added %1 to your shopping cart.","Afegit %1 a la cistella."
"You cannot add a product.","No es pot afegir el producte."
"Order by SKU","Demanar per SKU"
"The SKU was not found in the catalog.","No s'ha trobat l'SKU al catàleg."
"Availability: Out of stock.","Disponibilitat: sense estoc."
"We don't have as many of these as you want.","No disposem de tants com vostè sol·licita."
"You can't add this many to your cart.","No pot afegir tants a la seva cistella."
"You need to choose options for your item.","Cal escollir les opcions de l'article."
"We can't add the item to your cart.","No podem afegir l'article a la seva cistella."
"Please enter an actual number in the ""Qty"" field.","Indiqueu un nombre real al camp ""Quantitat""."
"This product is assigned to another website.","Aquest producte està assignat a un altre lloc web."
"You can add only enabled products.","Només es poden afegir productes activats."
"You cannot upload this file.","No es pot pujar aquest arxiu."
"The file is empty.","L'arxiu està buit."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","No s'ha introduït l'SKU del producte. Si us plau <a href=""%1"">cliqueu aquí</a> per afegir producte(s) per SKU."
"You have not entered a product SKU.","No s'ha introduït l'SKU del producte."
"We can't add a product to cart by id ""%1"".","No es pot afegir el producte amb id ""%1"" a la cistella."
"Something went wrong while reordering this product.","Alguna cosa ha anat malament tornant a demanar el producte."
"We can't find this wish list.","No podem trobar aquesta llista de desitjos."
"You added %1 product to your shopping cart.","Afegit %1 producte a la cistella."
"You added %1 products to your shopping cart.","Afegits %1 productes a la cistella."
"%1 product requires your attention.","%1 producte necessita atenció."
"%1 products require your attention.","%1 productes necessiten atenció."
"Yes, for Specified Customer Groups","Si, per a grups de clients especificats"
"Yes, for Everyone","Si, per a tothom"
"The file is corrupt.","L'arxiu s'ha malmès."
"Please upload the file in .csv format.","Si us plau, carregeu l'arxiu en format .csv."
"%1 item(s) need your attention.","%1 article(s) necessita(en) atenció."
"Apply Coupon Code","Aplica cupó"
"Remove Coupon Code","Elimina cupó"
"The coupon code ""%1"" is not valid.","El codi de cupó ""%1"" no és vàlid."
"Shopping Cart Items","Articles de la cistella"
Qty,Quantitat
Discount,Descompte
"Row Subtotal","Subtotal de fila"
Action,Acció
"No ordered items","Articles no demanats"
"Total %1 product(s)","Total %1 producte(s)"
"Please select",Seleccioni
"Move to Wish List","Moure a la llista de desitjos"
"No item specified.","Article no especificat."
"Are you sure you want to remove this item?","Segur que voleu eliminar aquest article?"
"SKU number","número d'SKU"
"Upload File","Pujar arxiu"
"Your csv file must include ""sku"" and ""qty"" columns.","L'arxiu csv ha d'incloure les columnes ""sku"" i ""qty""."
Reset,Restablir
"Only <span id=""%1_max_allowed"">%2</span> in stock","Només <span id=""%1_max_allowed"">%2</span> en estoc"
Item,Article
"See price before order confirmation.","Consulteu el preu abans de la confirmació de comanda."
"What's this?","Què és això?"
"Incl. Tax","Impostos inclosos"
"Excl. Tax","Impostos exclosos"
"Edit item parameters","Edita el paràmetres de l'article"
Edit,Edita
"Remove item","Elimina l'article"
"Products Requiring Attention","Productes que necessiten atenció"
"Add to Cart","Afegir a la cistella"
File,Arxiu
"File extensions allowed: .csv","Extensions d'arxiu permeses: .csv"
"Add Row","Afegir fila"
"Remove Row","Eliminar fila"
"Add Products By SKU","Afegir productes per SKU"
"Shopping Cart Management","Gestió de la cistella"
"View Shopping Cart","Veure la cistella"
"View and modify Shopping Cart","Veure i modificar la cistella"
"Order by SKU Settings","Demanar per paràmetres d'SKU"
"Enable Order by SKU on My Account in Storefront","Permetre demanar per SKU al meu compte a la botiga"
"Customer Groups","Grups de clients"
"Apply Coupon","Aplica cupó"
"Order by SKU Description","Demanar per descripció SKU"
"Display a Link to Loading a Spreadsheet","Mostrar enllaç per carregar full de càlcul"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Defineix si es mostrarà un enllaç al meu compte &gt; Demanar per pàgina SKU al widget"
"Link Text","Text de l'enllaç"
"The text of the link to the My Account &gt; Order by SKU page","Text de l'enllaç al meu compte &gt; Demanar per pàgina SKU"
"Load a list of SKUs","Carrega llista d'SKUs"
"Order by SKU Template","Demanar per plantilla SKU"
"SKU not found in catalog.","SKU no trobat al catàleg."
"This file needs to be in .csv format.","El fitxer ha de ser en format .csv."
"This customer couldn't be found. Verify the customer and try again.","No s'ha trobat el client. Verifiqueu-lo i torneu-ho a provar."
"This store couldn't be found. Verify the store and try again.","Botiga no trobada. Verifiqueu-la i torneu-ho a provar."
"An error occurred. For details, see the error log.","S'ha produït un error. Mireu el registre per veure'n els detalls."
"Orders can only be completed in an active store. Verify the store and try again.","Només es poden completar comandes en una botiga activa. Verifiqueu la botiga i torneu-ho a provar."
"The ordered item needs to be loaded. Load the item and try again.","L'article demanat necessita ser carregat. Carregueu l'article i torneu-ho a provar."
"The quote item ID needs to be received. Set the ID and try again.","S'ha d'especificar l'ID de l'article. Especifiqueu l'ID i torneu-ho a provar."
"The quote item needs to be loaded. Load the item and try again.","L'article necessita ser carregat. Carregueu l'article i torneu-ho a provar."
"The wish list item ID needs to be received. Set the ID and try again.","S'ha d'especificar l'ID de l'article desitjat. Especifiqueu l'ID i torneu-ho a provar."
"The wish list item needs to be loaded. Load the item and try again.","L'article desitjat necessita ser carregat. Carregueu l'article i torneu-ho a provar."
"The file is corrupt and can't be used.","L'arxiu està malmès i no es pot utilitzar."
"Please correct the data sent.","Si us plau corregeixi les dades enviades."
"Entity type model '%1' is not found","El tipus de model Entity '%1' no s'ha trobat"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","El tipus de model d'entitat ha de ser una instància de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","No hi ha tipus de producte disponibles per exportar"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","la classe %1 no implementa \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Regla de vendes"
"Index sales rule","Indexar regla de vendes"
"Related Search Terms","Termes de cerca relacionats"
"Add New Search Term","Afegir nou terme de cerca"
button_label,"etiqueta de botó"
"Missing search engine parameter.","Paràmetre de motor de cerca desconegut."
"Successful! Test again?","Correcte! Tornem a provar?"
"Connection failed! Test again?","La connexió ha fallat! Tornem a provar?"
"Enable Search Recommendations","Habilita les recomanacions de cerca"
"When you enable this option your site may slow down.","Si activeu aquesta opció, el vostre lloc web pot anar més lent."
"Search Recommendations Count","Recomanacions de cerca"
"Show Results Count for Each Recommendation","Mostra el recompte de resultats per a cada recomanació"
"Enable Search Suggestions","Habilita suggeriments de cerca"
"Search Suggestions Count","Suggeriments de cerca"
"Show Results Count for Each Suggestion","Mostra el recompte de resultats per a cada suggerència"
"Related search terms","Termes de cerca relacionats"
"Did you mean","Voleu dir"
"Search Query","Consulta de cerca"
Store,Botiga
Results,Resultats
Uses,Utilitza
"Redirect URL","Redirigir URL"
"Suggested Term","Terme suggerit"
Yes,Si
Synonym,Sinònim
"RPC call failed, connection timed out after %time_out.","Ha fallat la crida RPC, temps d'espera esgotat després de %time_out."
"Message has been rejected: %1","Missatge rebutjat: %1"
"Error while checking if topic is synchronous","Error mentre es comprovava si el tema és síncron"
"Subscription status","Estat de la subscripció"
"Sorry, there has been an error processing your request. Please try again later.","Ho sento, hi ha hagut un problema progressant la petició. Si us plau, prova-ho més tard."
"Cron settings can't be saved","Les configuracions del Cron no poden ser guardades"
"There was an error save new configuration value.","N'hi ha hagut un error al guardar el valor de la nova configuració."
"--Please Select--","--Si us plau, seleccioneu--"
"Command was not found.","La comanda no s'ha trobat."
"Input data must be non-empty string.","Les dades d’entrada han de ser una cadena de text no buida."
"These arguments can't be empty ""%1""","Aquests arguments no poden ser vuits ""%1"""
"Cannot find predefined integration user!","No es pot trobar l'usuari d'integració predefinit!"
"File is not ready yet.","El fitxer no està llest encara."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","L'URL base ha sigut canviada i els teus reports han sigut actualitzats. Els reports avançats estaran disponibles un cop els canvis siguin processats. Si us plau, intenta-ho més tard."
"Failed to synchronize data to the Magento Business Intelligence service. ","Error al sincronitzar les dades del servei de Magento Business Intelligence. "
TestMessage,"Missatge de prova"
"Apps and Games","Aplicacions i jocs"
"Athletic/Sporting Goods","Atlètics/Béns esportius"
"Art and Design","Art i Disseny"
"Advanced Reporting","Informes avançats"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Guanyi noves visites i prengui les rendes del rendiment del seu negoci, utilitzant els nostres informes dinàmics de productes, comandes i clients adaptats a les dades dels seus clients."
"Go to Advanced Reporting","Vés als informes avançats"
Analytics,Anàlisi
Configuration,Configuració
"Business Intelligence","Intel·ligència de negoci"
"Advanced Reporting Service","Servei d'informes avançats"
"Time of day to send data","Hora del dia per enviar dades"
Industry,Indústria
"In order to personalize your Advanced Reporting experience, please select your industry.","Per personalitzar l'experiència en els informes avançats, si un plau, seleccioni el tipus de negoci."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Obtingui més idees amb Magneto Business Intelligence</strong>"
"Auto Parts","Peces d'automòbil"
"Beauty and Cosmetics","Bellesa i Cosmètics"
"Books, Music and Magazines","Llibres, Música i Revistes"
"Crafts and Stationery","Artesanies i Papereria"
"Consumer Electronics","Electrònica de Consum"
"Deal Site","Lloc de Ofertes"
"Fashion Apparel and Accessories","Roba i Accessoris de Moda"
"Food, Beverage and Grocery","Aliments, Begudes i Ultramarins"
"Home Improvement","Millores per a la llar"
"Jewelry and Watches","Joieria i Rellotges"
"Office Supplies","Material d'oficina"
"Pharma and Medical Devices","Dispositius farmacològics i mèdics"
"Technology B2B","Tecnologia B2B"
Done,Fet
Retry,Reintentar
"'Action Details - #' .","'Detalls - #' ."
"%1 item(s) have been scheduled for update.""","%1 producte(s) s'ha programat per actualitzar."""
"Bulk Actions Log","Registre d'accions massives"
"Bulk uuid %bulkUuid not exist","No existeix l'uuid %bulkUuid"
"Topic %1","Tema %1"
"Something went wrong while processing the request.","Alguna cosa ha anat malament processant la petició."
"Error processing %key element of input data","Error processant l'element %key de les dades introduïdes"
"Sorry, something went wrong during product prices update. Please see log for details.","Ho sentim, alguna cosa ha anat malament en el procés d'actualització dels preus. Vegeu els detalls al registre."
"%1 item(s) are currently being updated.","%1 producte(s) estant sent actualitzats."
"Task ""%1"": ","Tasca ""%1"": "
"%1 item(s) have been scheduled for update.","%1 producte(s) programat(s) per actualitzar."
"%1 item(s) have been successfully updated.","%1 producte(s) actualitzat(s) correctament."
"%1 item(s) failed to update","Ha fallat l'actualització de/d' %1 producte(s)"
Details,Detalls
"View Details","Veure detalls"
Dismiss,Descartar
"Pending, in queue...","Pendent, a la cua..."
"%1 items selected for mass update","%1 productes seleccionats per actualitzar"
", %1 successfully updated",", %1 actualitzat correctament"
", %1 failed to update",", %1 ha fallat l'actualització"
"Something went wrong.","Alguna cosa ha anat malament."
"Action Log","Registre d'activitat"
Report,Informe
"Bulk Actions","Accions massives"
"Action Logs","Registre d'activitats"
"Days Saved in Log","Dies desats al registre"
"Description of Operation","Descripció d'operació"
Summary,Resum
"Start Time","Hora d'inici"
"Items to Retry","Elements per reintentar"
"To retry, select the items and click “Retry”.","Per reintentar-ho, selecciona i clica ""Reintentar""."
"Items That Can’t Be Updated.","Productes que no es poden actualitzar."
Status,Estat
"Meta Information","Informació Meta"
"Dismiss All Completed Tasks","Descartar les tasques completades"
"Action Details - #","Detalls - #"
"Number of Records Affected","Nombre de registres afectats"
"We can't find the role for the user you wanted.","No podem trobar el rol per l'usuari que volies."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Alguna cosa ha anat malament mentre es compilava una llista de recursos habilitats. Més informació al registre d'excepcions."
"The role wasn't found for the user. Verify the role and try again.","No s'ha trobat el rol per l'usuari. Verifiqueu-lo i torneu-ho a provar."
"We can't process your order right now. Please try again later.","No podem processar la comanda ara. Si us plau, proveu-ho més tard."
"This payment didn't work out because we can't find this order.","El pagament no ha funcionat per que no podem trobar aquesta comanda."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Alguna cosa no ha funcionat: el total del pagament no coincideix amb el total de la comanda. Si us plau, rectifiqueu-ho i proveu-ho de nou."
"New Order Status","Nou estat de la comanda"
options,opcions
"Select all","Selecciona-ho tot"
"Deselect all","Desselecciona-ho tot"
"Please Select","Si us plau seleccioni"
"%s of %s selected","%s de %s seleccionats"
"B2B Features","Característiques B2B"
"Invalid Form Key. Please refresh the page.","Clau de formulari invàlida. Si us plau, refresca la pàgina."
"You entered an invalid Secret Key. Please refresh the page.","Has introduït una clau secreta invàlida. Si us plau, actualiza la pàgina."
"Cache Storage Management","Gestió d'emmagatzematge de caché"
"Flush Magento Cache","Buidar la caché de Magento"
"Flush Cache Storage","Buidar l'emmagatzematge de caché"
Invalidated,Invalidat
Orders,Comandes
Amounts,Quantitats
Bestsellers,"Més venuts"
"Most Viewed Products","Productes més vists"
"New Customers","Nous clients"
Customer,Client
Guest,Convidat
Items,Elements
"Average Order","Mitjana de comandes"
Average,Mitjana
Views,Vistes
Tax,Impostos
Shipping,Enviament
"Images (.gif, .jpg, .png)","Imatges (.gif, .jpg, .png)"
"All Files","Tots els fitxers"
"What is this?","Què és això?"
"My Account","El meu compte"
"Account Information","Informació del compte"
"User Name","Nom d'usuari"
"First Name",Nom
"Last Name",Cognoms
Email,"Correu electrònic"
"User Email","Correu electrònic de l'usuari"
"New Password","Nova Contrasenya"
"Password Confirmation","Confirmació de la contrasenya"
"Interface Locale","Configuració d'interfície"
"Your Password","La teva contrasenya"
"Save Cache Settings","Desar la configuració de la caché"
Refresh,Refrescar
Clear,Netejar
Rebuild,Reconstruïr
"Custom Design","Disseny personalitzat"
"We couldn't find any records.","No podem trobar cap registre."
"Please select items.","Si us plau, selecciona elements."
"Specified cache type(s) don't exist: %1","El tipus de cache(s) especificat no existeix: %1"
"We can't refresh lifetime statistics.","No podem actualitzar les estadístiques en temps real."
"We can't create a backup right now. Please try again later.","No es pot crear una còpia de seguretat ara mateix. Intenti-ho més tard."
"You did not sign in correctly or your account is temporarily disabled.","No has iniciat sessió correctament o el teu compte està temporalment desactivat."
"Authentication error occurred.","S'ha produït un error d'autenticació."
Previous,Anterior
"Please confirm scope switching. All data that hasn't been saved will be lost.","Si us plau, confirmeu el canvi d'abast. Tota la informació no gravada es perdrà."
"We don't recognize or support this file extension type.","No reconeixem o donem suport a aquest tipus d'extensió de fitxer."
Settings,Configuració
"Add Block Names to Hints","Afegir noms de Bloc a les pistes"
"Please correct the tab configuration and try again. Tab Id should be not empry","Si us plau, corregiu la configuració de la llengüeta i proveu un altre cop. El id de la llengüeta no pot ser buit."
"You have entered an invalid password for current user.","Ha introduït un paraula de pas incorrecte per l'usuari actual."
"Unable to delete store. Please, try again later.","No es pot suprimir la botiga. Si us plau, intenti-ho més tard."
"Unable to delete store view. Please, try again later.","No es pot suprimir la vista de botiga. Si us plau, intenti-ho més tard."
"Unable to delete website. Please, try again later.","No es pot suprimir el lloc web. Si us plau, intenti-ho més tard."
"Access denied","Accés denegat"
"Please try to sign out and sign in again.","Si us plau, prova de tancar la sessió i torna a iniciar."
"If you continue to receive this message, please contact the store owner.","Si continueu rebent aquest missatge, contacti amb el propietari de la botiga."
"You need more permissions to access this.","Necessites mes permisos per accedir aquí."
"Copyright&copy; %1 Magento Commerce Inc. All rights reserved.","Copyright&copy; %1 Magento Commerce Inc. Tots els drets reservats."
"Report Bugs","Informa d'errors"
"Themes JavaScript and CSS files combined to one file.","Els fitxers JavaScript i CSS del tema seran combinat en un sol fitxer."
"Design Theme","Tema de disseny"
"User-Agent Exceptions","Excepcions d'User-Agent"
"Find a string in client user-agent header and switch to specific design theme for that browser.","Trobar un cadena en la capçalera de l'User-Agent del client, i canviar a un tema de disseny específic per a aquest navegador."
